2	128	-30	15
32	12	42	50
63	1	55	-20
94	-86	35	-20
125	21	99	12
157	-45	-54	-26
187	-31	6	-70
218	-45	3	-14
249	-77	25	-2
280	-15	-22	0
312	-77	48	-79
342	-35	-7	-92
373	-118	59	-11
404	-160	155	-227
435	-90	202	-109
467	-148	85	-36
497	-19	102	-8
528	-63	8	-30
559	-14	-31	191
590	142	-78	192
622	-241	-58	-8
652	14	-25	72
683	-9	-47	-263
714	4	-8	58
745	-202	9	110
777	116	-4	21
807	-83	-97	617
838	-47	-114	90
869	-128	-462	440
900	-879	-413	140
932	-304	-30	-624
962	-63	-152	186
993	-51	-473	122
1024	56	-870	-38
1055	385	-1452	216
1087	330	-592	557
1117	-525	-1565	1149
1148	-992	-1429	207
1179	-1942	-1077	14
1210	516	-713	1686
1242	-2224	-913	1399
1272	-2271	-1316	1688
1303	-339	-2208	277
1334	-318	-2026	17
1365	-1139	-2566	-985
1397	-1624	-2987	-1585
1427	-509	-2698	-3514
1458	-277	-1315	-1171
1489	1796	-873	1790
1520	691	852	6597
1552	1282	2111	14057
1582	-1779	1350	16470
1613	-2241	-503	16558
1644	-1745	-2436	16196
1675	-826	-3526	16112
1707	226	-3629	16111
1737	1044	-2757	16172
1768	-20649	-1782	-8482
1799	-896	2599	-2110
1830	-1728	36	-3917
1862	614	805	-2730
1892	1281	2081	-2998
1923	3141	1491	-4322
1954	1562	262	-2393
1985	793	236	-2538
2017	1050	-2010	-2783
2047	802	-672	805
2078	715	1389	3386
2109	381	3760	8945
2140	-6714	4497	12737
2172	-7709	-1709	13480
2202	-6870	-7329	11419
2233	-5349	-10987	8116
2264	-3934	-12673	4851
2295	-3201	-13481	2313
2327	-2930	-13612	-108
2357	25515	-17412	490
2388	673	3290	620
2419	-4234	2275	1407
2450	-6798	3116	1418
2482	-10680	708	3184
2512	-1786	-2095	3945
2543	-1854	-1068	4284
2574	967	85	809
2605	777	244	-1072
2637	2290	1105	-7054
2667	-196	-481	-11206
2698	-4323	2888	-18314
2729	-2469	7143	-17273
2760	171	8484	-16740
2792	2625	6796	-17176
2822	3935	3228	-18246
2853	4137	-1361	-18276
2884	-6702	-2481	-3089
2915	-18330	-3498	1581
2947	6554	-7026	1449
2977	932	4155	1660
3008	-3820	344	2155
3039	7392	1759	2672
3070	-10307	3301	2155
3102	-305	-4799	3286
3132	1618	523	3847
3163	1555	1255	2562
3194	1268	-114	4158
3225	2649	440	2067
3257	-2219	-1372	-1084
3287	1871	438	-3821
3318	-465	-1298	-11258
3349	-2530	1989	-12175
3380	-2002	3771	-13306
3412	-651	4866	-12783
3442	617	4954	-12798
3473	1421	3983	-12999
3504	2069	2687	-13347
3535	2441	832	-13567
3567	-5153	2823	3169
3597	-1327	-328	1543
3628	-875	-434	-1545
3659	8545	-894	783
3690	13968	1868	891
3722	-1911	3189	958
3752	-2277	2571	34
3783	-1590	1063	1590
3814	-1082	-1214	-1784
3845	1136	-3860	-3108
3877	-1165	-10749	-6057
3907	-4659	-11474	-9054
3938	-6350	-7780	-12301
3969	-7234	-2043	-14168
4000	-6692	4316	-13816
4032	-5095	9156	-11176
4062	-3587	11747	-8496
4093	-2156	12947	-6139
4124	-2317	-6036	-2154
4155	-1849	-2963	-1653
4187	-6867	1106	734
4217	-999	-2151	-1240
4248	-2381	-2562	-3073
4279	-254	-1512	-1976
4310	-798	-1245	-1147
4342	804	533	1887
4372	2159	2708	5710
4403	-2449	8183	11012
4434	-9028	3263	16392
4465	-9155	-6434	15471
4497	-6545	-12962	10711
4527	-4546	-15653	6247
4558	-3269	-16566	2684
4589	-2849	-16756	-114
4620	-2902	5399	-2497
4652	4045	4589	2792
4682	-4214	1540	-291
4713	-5716	3824	-462
4744	-3663	-487	1647
4775	-4984	-465	3963
4807	-3269	1725	5338
4837	108	487	3800
4868	-2201	-844	2352
4899	122	142	-1072
4930	400	363	-3632
4962	2398	-874	-7984
4992	-10100	-506	-13536
5023	-10172	8334	-10942
5054	-8399	13085	-4895
5085	-8009	13740	1845
5117	-9243	10957	8360
5147	-10581	4316	12884
5178	-10494	-4484	12579
5209	-17707	-6604	4977
5240	-2342	1453	-250
5272	-5297	1831	184
5302	-1223	1770	668
5333	-6126	862	1237
5364	-1813	2379	3849
5395	-7404	219	4994
5427	-1399	-71	2170
5457	-766	340	220
5488	1367	223	-1905
5519	1844	189	-6622
5550	-733	-1933	-11238
5582	-5135	1185	-15884
5612	-3506	5946	-15058
5643	-1415	8266	-13916
5674	965	8509	-13671
5705	2364	7039	-14402
5737	3685	4181	-15399
5767	-3439	-2188	-1353
5798	1202	-2354	3854
5829	-649	454	3216
5860	31	399	2533
5892	2931	-974	3614
5922	7486	-668	2959
5953	-752	1539	3028
5984	-596	1499	2144
6015	-1343	166	1758
6047	-381	-428	-668
6077	567	-856	-4116
6108	1397	-4938	-9407
6139	-6261	-6012	-11412
6170	-6883	-630	-12717
6202	-6090	4722	-11957
6232	-4617	8142	-9662
6263	-3606	10592	-7355
6294	-2455	11671	-5355
6325	-809	9317	-4261
6357	-30270	4045	5567
6387	-4598	187	-3880
6418	-15353	5393	-2686
6449	-15192	5285	2542
6480	-15672	999	5687
6512	-15619	-4159	3815
6542	13268	-28971	-93
6573	17372	-15882	-83
6604	11970	-1946	-102
6635	3100	-10505	-64
6667	-24600	-17252	-76
6697	4552	16258	-80
6728	-3902	2675	-83
6759	-10705	1897	-85
6790	3740	-3296	-5042
6822	2320	-262	-1145
6852	-666	234	1452
6883	558	-405	17
6914	474	371	-669
6945	-519	214	749
6976	-421	7	-159
7007	62	73	65
7038	-69	-2	37
7069	-21	-5	-13
7100	-81	36	-29
7131	-27	19	104
7162	-86	24	52
7193	-329	120	-206
7224	682	531	-2427
7255	-604	-171	-1741
7287	-1759	-335	-316
7317	1050	-727	-1363
7348	660	1309	-1505
7379	750	1348	-580
7410	-3126	1832	1837
7442	1701	209	1357
7472	7	579	165
7503	3959	390	-647
7534	325	54	-808
7565	-878	-411	-16
7597	-1298	3126	3289
7627	612	-1281	315
7658	3354	-451	1896
7689	-3004	-979	-404
7720	-721	207	450
7752	-1625	-782	394
7782	-2430	-799	356
7813	-6783	3822	3425
7844	-60	458	414
7875	-6052	4546	683
7907	-3605	4383	-1957
7937	1384	-750	926
7968	-524	-118	518
7999	2661	-431	-227
8030	211	-896	449
8062	781	-441	17
8092	669	243	-574
8123	-345	735	-30
8154	998	-645	27
8185	57	-481	263
8217	692	-1859	-682
8247	787	-978	-735
8278	517	-613	-238
8309	-396	-1154	-216
8340	7	-315	6
8372	540	-115	43
8402	64	-322	312
8433	-118	-302	17
8464	3	-575	-36
8495	-40	-376	68
8527	65	-77	-49
8557	-137	-365	113
8588	-45	9	-271
8619	-163	-90	17
8650	-227	-125	-325
8682	43	114	-150
8712	-150	-267	-126
8743	-87	-5	-57
8774	8	149	-121
8805	-12	-147	-184
8837	1	105	-127
8867	43	96	-218
8898	-179	-145	28
8929	103	-44	-139
8960	64	390	6
8992	-192	-285	37
9022	-436	-368	-105
9053	-25	-148	-269
9084	114	204	163
9115	66	-101	52
9146	250	-65	82
9177	128	-351	82
9208	-242	-145	-83
9239	-140	-224	-165
9270	17	6	58
9301	-47	50	-41
9332	4	79	-17
9363	-40	51	-145
9394	2	-20	-105
9425	-15	134	47
9456	50	-13	15
9487	-109	-48	24
9518	-28	-60	2
9549	110	143	-57
9580	16	90	46
9611	15	143	87
9642	-21	23	163
9673	-10	136	-22
9704	-37	-94	18
9735	-124	106	40
9766	-73	-83	36
9797	-46	-83	71
9828	-46	-16	28
9859	-76	7	-4
9890	-82	-33	68
9921	-14	-17	21
9952	19	-23	61
