1	410	9	-27
32	-469	4	-2
63	-213	86	-2
109	352	12	-13
125	-104	-36	17
157	-338	-8	-29
187	100	38	-99
218	274	49	49
249	-372	26	-115
280	-165	-21	104
312	156	-42	-45
342	134	-32	39
373	-241	15	22
404	-43	-6	-10
435	75	-69	66
466	123	-39	-27
497	-264	35	25
528	-104	19	-102
559	51	12	84
590	12	35	-142
621	-154	24	9
652	-20	4	58
683	87	42	44
714	-167	26	28
745	-12	52	8
776	42	45	21
807	-141	51	-67
838	52	38	46
869	-112	-14	-128
900	-4	-12	41
931	-114	15	-60
962	15	39	96
993	-46	12	18
1024	-37	36	12
1055	-145	5	-20
1087	-22	38	-79
1117	-101	63	-33
1148	-20	16	-85
1179	-72	76	59
1210	-58	-25	-126
1242	-36	29	138
1272	-78	5	-92
1303	5	-16	-8
1334	-82	25	8
1365	-36	-16	3
1397	-69	9	-13
1427	-82	29	-35
1458	-76	65	-41
1489	-96	38	-65
1520	-61	18	78
1552	-40	-31	-98
1582	-17	-6	116
1613	-49	8	49
1644	-71	26	-23
1675	-71	12	5
1707	-69	25	-16
1737	-78	55	-71
1768	-74	26	-33
1799	-72	49	-23
1830	-39	38	-139
1862	-43	44	72
1892	-29	-75	25
1923	-18	13	-7
1954	-72	-18	44
1985	-25	32	-26
2017	-52	-56	21
2047	-52	29	-16
2078	-87	66	-22
2109	-82	48	-7
2140	-56	31	-4
2171	-60	26	-90
2202	-7	9	52
2233	-24	-54	22
2264	-45	-8	-41
2295	-65	-11	19
2327	-20	-34	-16
2357	-55	52	-41
2388	-78	-2	-33
2419	-33	29	-48
2450	-48	-7	-79
2481	-55	-8	43
2512	-24	-5	-38
2543	-48	-20	25
2574	7	-22	-11
2605	-49	-28	0
2637	-53	26	-5
2667	-32	1	-5
2698	-76	-42	-2
2729	-46	16	15
2760	-48	35	55
2792	-56	-66	80
2822	-50	-49	71
2853	-42	-46	-41
2884	-36	-19	2
2915	-15	21	40
2947	-58	36	-23
2977	-24	15	-16
3008	-60	-5	-22
3039	-40	11	25
3070	-50	-2	-112
3101	-94	53	15
3132	-28	22	-64
3163	-46	-2	52
3194	-30	-9	-39
3225	-13	24	-10
3257	-33	-26	22
3287	-35	25	-74
3318	-65	9	11
3349	-84	25	-104
3380	-63	1	58
3411	-43	9	5
3442	-46	26	52
3473	-36	34	-42
3504	-27	4	11
3535	-29	3	31
3567	42	49	-10
3597	-49	-25	74
3628	-49	25	-22
3659	-92	36	19
3690	-64	49	-85
3722	-55	18	93
3752	-43	15	-134
3783	-37	12	88
3814	-26	32	-35
3845	-41	4	17
3877	-36	31	47
3907	-75	48	-14
3938	-89	-2	-52
3969	-30	30	-60
4000	-79	16	6
4032	-25	34	-95
4062	-17	-4	85
4093	-27	8	-80
4124	-31	49	24
4155	-37	-2	-49
4186	-33	32	28
4217	-59	35	-44
4248	-55	1	-57
4279	-68	5	-48
4310	-40	45	-92
4342	-59	34	61
4372	-53	9	-114
4403	-72	19	47
4434	-39	41	-109
4465	-17	-22	65
4497	-83	34	-26
4527	-54	22	-19
4558	-87	0	-42
4589	-78	41	-80
4620	-77	-11	-33
4652	-59	61	-115
4682	-58	76	65
4713	-10	1	-123
4744	-33	15	55
4775	-3	-30	-93
4807	-30	41	-41
4837	-73	52	-13
4868	-26	1	-36
4899	-68	26	-19
4930	-102	12	3
4962	-62	39	21
4992	-82	36	-80
5023	-44	18	59
5054	-53	-6	-80
5085	-49	-4	-36
5116	6	2	24
5147	-39	15	-14
5178	-73	2	-36
5209	-27	52	-23
5240	-52	49	-39
5272	-82	12	-46
5302	-17	30	30
5333	-64	-5	-123
5364	-71	32	106
5395	-57	-18	37
5427	-56	15	14
5457	-29	21	21
5488	-59	1	-73
5519	-66	4	-38
5550	-36	11	-57
5582	-70	61	61
5612	-79	46	-93
5643	-62	72	37
5674	-59	-12	-36
5705	-18	28	-5
5736	-30	2	-2
5767	-40	2	-19
5798	-43	-54	-24
5829	-66	-28	-51
5860	-52	29	-44
5892	-98	59	-74
5922	-85	33	-49
5953	-78	35	-120
5984	-76	-30	14
6015	25	2	12
6046	-33	66	104
6077	-32	-5	52
6108	-26	21	-1
6139	-37	-9	21
6170	-105	8	-8
6202	-86	12	22
6232	-32	69	-32
6263	-42	5	112
6294	-24	8	-14
6325	-37	-59	63
6357	-35	-11	65
6387	-17	-25	-29
6418	-59	-15	8
6449	-25	-41	0
6480	-66	36	-33
6511	-69	22	-16
6542	-66	61	-65
6573	-18	44	-114
6604	-40	32	24
6635	-43	16	0
6666	-43	0	3
6697	-23	8	68
6728	-23	-5	-29
6759	903	-61	78
6790	-217	-95	-51
6822	-461	45	-80
6852	-119	83	118
6883	-194	15	207
6914	-155	-1	-130
6945	-75	-12	280
6976	-59	38	-52
7007	13	-26	15
7038	49	-29	27
7069	-27	-16	55
7100	51	29	97
7132	-11	29	91
7162	-24	28	77
7193	-21	29	-67
7224	43	-4	185
7255	32	-22	9
7286	21	32	-46
7317	41	5	-22
7348	19	-39	-55
7379	-11	18	-46
7410	-39	21	-19
7441	-41	19	-30
7472	-9	41	-48
7503	-37	6	31
7534	-94	6	-108
7565	-70	-8	44
7596	-91	46	-111
7627	-71	-14	8
7658	-28	-55	-2
7689	-42	2	0
7720	-31	5	11
7751	-134	190	1093
7782	-50	34	3
7813	-36	24	-76
7844	-23	36	94
7875	-78	-5	-143
7906	-162	-14	50
7937	-120	-25	8
7968	-105	-5	12
7999	-1	-66	41
8030	-7	-42	-46
8061	6	-1	-51
8092	7	28	-44
8123	-56	-14	-19
8154	-75	79	-145
8185	-59	41	72
8216	-88	58	-64
8247	-57	8	107
8278	-41	11	-98
8309	25	18	8
8340	-33	4	-19
8371	-18	31	109
8402	-60	48	-16
8433	-105	14	-64
8464	-33	18	39
8495	-68	-4	-104
8526	-83	38	-26
