2	-1759	9561	-9678
32	-292	10032	-9137
63	-10380	-6157	3298
106	-3754	-355	-1518
125	-3944	-3249	-606
157	-10709	-1833	-688
187	-1869	-2238	-4307
218	561	195	-2399
249	1085	-1589	-658
280	-253	-1650	-263
312	130	-1095	1052
342	-454	975	4479
373	1511	4735	10369
404	91	6172	11298
435	-1229	5709	11550
467	-2266	4422	11845
497	-2967	2533	12469
528	-3175	138	12647
559	-2877	-2164	12480
590	-2136	-3943	11971
622	-25904	-4866	4139
652	-2718	1537	638
683	-5266	2242	282
714	-2526	1015	2049
745	-6341	621	5214
777	665	2034	2030
807	-399	185	1249
838	180	22	-1597
869	504	-1313	-4608
900	141	-4920	-10975
932	241	-7133	-12663
962	-1385	-6621	-12908
993	-2658	-4872	-13599
1024	-3393	-2196	-14050
1055	-3439	988	-14267
1087	-2676	3843	-13747
1117	-1626	5626	-13157
1148	-14611	-1293	7656
1179	-4541	-8296	-2355
1210	-2326	-492	1205
1242	-2467	-2165	909
1272	-10451	42	-1316
1303	-1089	-3191	-3896
1334	-3930	504	-2803
1365	-994	-1376	-1991
1397	716	-493	-556
1427	932	248	2596
1458	64	1978	5832
1489	9	3913	9571
1520	-2490	4538	11876
1552	-3350	2365	12399
1582	-3506	-195	12491
1613	-3058	-2696	12242
1644	-2149	-4552	11580
1675	-1007	-5567	11243
1707	101	-5745	11060
1737	877	-5608	10994
1768	6673	4298	-335
1799	-2256	1269	-1945
1830	-2850	2530	-1691
1862	-4989	3717	672
1892	81	2121	2375
1923	-2814	-309	1432
1954	67	2275	1797
1985	921	-934	-1174
2017	-1106	-4291	-2241
2047	-907	-11659	-5614
2078	-5158	-12275	-7196
2109	-7326	-8220	-11195
2140	-8379	-1799	-13611
2172	-7866	5334	-12680
2202	-6267	10256	-9339
2233	-4671	12729	-5613
2264	-3959	13588	-1931
2295	-13620	-2127	1249
2327	-1353	-1582	-1940
2357	-3186	-2691	-1280
2388	-3807	-1507	-3371
2419	-2090	-1487	-7108
2450	420	-2313	-2692
2482	550	-1168	-770
2512	461	502	1682
2543	37	1440	6257
2574	2280	4057	8986
2605	-1311	5624	12027
2637	-2372	4182	12710
2667	-2994	2129	13025
2698	-3133	-320	13218
2729	-2622	-2640	13028
2760	-1808	-4295	12549
2792	-737	-5091	12163
2822	222	-5060	11979
2853	1638	5671	994
2884	-3634	2261	260
2915	-1668	3432	-1110
2947	-4788	3789	1004
2977	175	2970	1016
3008	1198	2232	2018
3039	312	-356	-922
3070	-335	-3727	-2243
3102	1102	-6445	-2025
3132	-2803	-12846	-3452
3163	-7428	-10717	-7855
3194	-8958	-5505	-11948
3225	-9216	1884	-12846
3257	-7916	8472	-10095
3287	-6487	11991	-5485
3318	-5825	13207	-888
3349	-6252	12622	3789
3380	-26154	-11057	-5440
3412	-5065	2246	-1079
3442	-3392	3596	-634
3473	2108	490	-2122
3504	-974	-1560	-2519
3535	-399	-1559	-2775
3567	1124	-2465	-5381
3597	13	-863	-1606
3628	1878	-1362	-2003
3659	779	-834	1325
3690	3409	-392	5098
3722	-130	38	11491
3752	1207	674	15743
3783	951	1888	15452
3814	441	2710	15270
3845	-218	2898	15194
3877	-867	2455	15283
3907	-1288	1506	15292
3938	-1430	249	15338
3969	-19230	-1182	-6802
4000	-2366	8447	1316
4032	-3211	-563	-3259
4062	-1378	1971	-4564
4093	-5657	-2028	-2211
4124	-3017	2745	-2359
4155	-4032	833	-1411
4187	-4799	6661	-2674
4217	-7593	3588	2044
4248	-205	3899	872
4279	486	1091	1795
4310	-371	1001	-2500
4342	1706	517	-5494
4372	771	-2607	-11428
4403	-579	-3250	-12962
4434	-1182	-2479	-13095
4465	-1492	-1302	-13133
4497	-1530	-18	-13203
4527	-1280	1162	-13129
4558	-822	2101	-12962
4589	-160	2592	-12874
4620	-11292	1309	10025
4652	-2824	-92	2218
4682	-3733	-986	-1041
4713	-713	-463	2538
4744	-1128	-1176	2781
4775	1612	-2111	1681
4807	5493	-1854	2780
4837	4443	-747	-1244
4868	11436	1138	-956
4899	9837	286	-2156
4930	-2066	398	865
4962	-2352	2914	1385
4992	2604	-990	-751
5023	994	-984	-3007
5054	669	-4347	-7365
5085	-3756	-7130	-9490
5117	-5418	-6025	-14744
5147	-6121	-476	-15830
5178	-5249	5301	-14974
5209	-3357	9116	-12929
5240	-1053	10843	-11516
5272	1156	10779	-11343
5302	-7621	6367	-2862
5333	1980	-8379	-554
5364	-5754	610	272
5395	-2280	-3346	1394
5427	-5271	-855	1275
5457	-5436	-3181	-1800
5488	401	-4147	-1866
5519	764	-3442	-3130
5550	458	-915	676
5582	-281	2176	3940
5612	2191	5812	8769
5643	-2223	9103	11782
5674	-4099	6581	13071
5705	-5161	2590	14469
5737	-5125	-2229	14450
5767	-3974	-6024	13288
5798	-2315	-8300	11941
5829	-523	-9091	11306
5860	-12016	4553	-5490
5892	-103	9693	-3894
5922	-4774	-1877	-366
5953	-3293	2858	-3199
