time	x	y	z
8092	-241	-149	-705
8123	-983	168	-888
8154	73	-263	-780
8185	-2	-48	-648
8217	-101	96	-664
8247	2128	288	1638
8278	-743	-320	1041
8309	-187	1914	717
8340	-280	1977	-125
8372	350	3596	135
8402	886	1941	213
8433	-235	1610	-508
8464	5133	6143	1360
8495	3454	5819	-537
8527	2126	632	963
8557	5586	-88	1764
8588	551	289	-2011
8619	1374	1148	-128
8650	-423	-877	238
8682	1830	-147	-341
8712	1245	151	-620
8743	1335	-528	-4
8774	1822	-751	-27
8805	899	-528	-64
8837	1502	-772	-70
8867	2054	-949	-407
8898	2782	-1061	-158
8929	2591	-1196	-443
8960	1673	-707	-276
8992	458	-273	-54
9022	1067	-182	-496
9053	1760	-707	-946
9084	2194	-1079	-837
9115	1820	-744	-374
9147	1630	-829	90
9177	623	-277	153
9208	412	-31	135
9239	135	85	-27
9270	272	-230	-100
9302	525	-284	92
9332	399	-252	-46
9363	368	-212	-336
9394	574	-363	-84
9425	409	-297	46
9457	96	-125	100
9487	-43	112	39
9518	-80	57	-147
9549	-18	31	46
9580	-70	-75	-87
9612	-161	42	-89
9642	-87	89	-81
9673	-138	39	-80
9704	-16	-15	-12
9735	27	-108	124
9767	93	-85	-162
9797	-27	-116	-36
9828	-59	-32	48
9859	-251	229	33
9890	-252	88	-10
9922	-85	45	70
9952	37	14	-54
9983	-133	35	5
10014	-176	91	-2
10045	-180	84	-12
10077	-80	-6	-11
10107	-118	136	-11
10138	-20	14	4
10169	1	27	-61
10200	19	21	4
10232	-62	101	30
10262	-12	19	-87
10293	41	45	7
10324	15	-15	-100
10355	-105	67	93
10387	-89	42	77
10417	25	-15	-1
10448	-1	-45	15
10479	-68	18	39
10510	-40	8	-11
10542	6	-18	-7
10572	214	-157	157
10603	59	-1	-116
10634	64	-21	-30
10665	135	-133	89
10697	213	-166	140
10727	66	-80	64
10758	31	34	-100
10789	22	-5	97
10820	197	-103	-68
10852	195	-156	40
10882	110	-78	78
10913	24	18	49
10944	43	-65	97
10975	12	21	-34
11007	-79	-16	-122
11037	53	-88	-83
11068	69	-65	24
11099	80	-55	62
11130	80	2	21
11162	19	-25	-65
11192	27	37	-116
11223	26	-35	86
11254	9	-19	-96
11285	-29	18	-23
11317	-8	-25	12
11347	-11	-21	5
11378	-28	-55	125
11409	-9	-33	-119
11440	-18	-29	122
11472	-27	7	18
11502	-40	-2	7
11533	-109	74	-59
11564	-254	142	-1
11595	-68	86	46
11627	-73	2	-5
11657	-47	85	86
11688	8	-35	-64
11719	-87	59	-86
11750	-90	71	-39
11782	-61	18	67
11812	-25	8	18
11843	-42	28	-49
11874	-5	-5	64
11905	-51	-32	4
11937	-60	4	-48
11967	-92	51	-23
11998	-95	77	-40
12029	-104	15	43
12060	-72	17	-49
12092	-56	-32	86
12122	-50	19	-39
12153	-73	15	20
12184	-81	48	-49
12215	-24	-15	-62
12247	-15	-9	-78
12277	-39	-46	77
12308	-1	5	-27
12339	-5	-3	43
12370	-93	9	-24
12402	-95	35	-99
12432	-47	14	-96
12463	-27	-12	45
12494	-53	29	74
12525	-7	-23	-30
